SigC,SigH,EpsC,EpsH,density
0.05,0.0455,0.1643,0.02,634.421
0.05,0.0455,0.1643,0.04,641.987
0.05,0.0455,0.1643,0.06,638.865
0.05,0.0455,0.1643,0.08,640.72
0.05,0.0455,0.1643,0.1,638.745
0.05,0.0455,0.1643,0.12,630.802
0.05,0.0455,0.1643,0.14,639.814
0.05,0.0455,0.3286,0.02,638.968
0.05,0.0455,0.3286,0.04,633.104
0.05,0.0455,0.3286,0.06,640.002
0.05,0.0455,0.3286,0.08,631.58
0.05,0.0455,0.3286,0.1,640.634
0.05,0.0455,0.3286,0.12,636.454
0.05,0.0455,0.3286,0.14,636.951
0.05,0.0455,0.4929,0.02,636.031
0.05,0.0455,0.4929,0.04,639.548
0.05,0.0455,0.4929,0.06,479.741
0.05,0.0455,0.4929,0.08,638.596
0.05,0.0455,0.4929,0.1,639.01
0.05,0.0455,0.4929,0.12,640.459
0.05,0.0455,0.4929,0.14,644.386
0.05,0.0455,0.6572,0.02,630.721
0.05,0.0455,0.6572,0.04,644.16
0.05,0.0455,0.6572,0.06,635.734
0.05,0.0455,0.6572,0.08,638.007
0.05,0.0455,0.6572,0.1,638.319
0.05,0.0455,0.6572,0.12,632.855
0.05,0.0455,0.6572,0.14,628.472
0.05,0.0455,0.8215,0.02,636.348
0.05,0.0455,0.8215,0.04,634.283
0.05,0.0455,0.8215,0.06,641.911
0.05,0.0455,0.8215,0.08,640.573
0.05,0.0455,0.8215,0.1,634.216
0.05,0.0455,0.8215,0.12,639.856
0.05,0.0455,0.8215,0.14,636.645
0.05,0.0455,0.9858,0.02,637.272
0.05,0.0455,0.9858,0.04,642.89
0.05,0.0455,0.9858,0.06,640.876
0.05,0.0455,0.9858,0.08,633.697
0.05,0.0455,0.9858,0.1,640.99
0.05,0.0455,0.9858,0.12,641.396
0.05,0.0455,0.9858,0.14,641.372
0.05,0.0455,1.1501,0.02,640.986
0.05,0.0455,1.1501,0.04,640.664
0.05,0.0455,1.1501,0.06,642.195
0.05,0.0455,1.1501,0.08,644.147
0.05,0.0455,1.1501,0.1,638.78
0.05,0.0455,1.1501,0.12,634.956
0.05,0.0455,1.1501,0.14,642.42
0.05,0.091,0.1643,0.02,638.031
0.05,0.091,0.1643,0.04,643.046
0.05,0.091,0.1643,0.06,640.678
0.05,0.091,0.1643,0.08,640.968
0.05,0.091,0.1643,0.1,638.434
0.05,0.091,0.1643,0.12,634.417
0.05,0.091,0.1643,0.14,639.479
0.05,0.091,0.3286,0.02,641.117
0.05,0.091,0.3286,0.04,635.257
0.05,0.091,0.3286,0.06,635.453
0.05,0.091,0.3286,0.08,640.61
0.05,0.091,0.3286,0.1,642.708
0.05,0.091,0.3286,0.12,643.684
0.05,0.091,0.3286,0.14,636.189
0.05,0.091,0.4929,0.02,641.758
0.05,0.091,0.4929,0.04,643.721
0.05,0.091,0.4929,0.06,635.928
0.05,0.091,0.4929,0.08,638.778
0.05,0.091,0.4929,0.1,637.518
0.05,0.091,0.4929,0.12,638.713
0.05,0.091,0.4929,0.14,641.486
0.05,0.091,0.6572,0.02,638.495
0.05,0.091,0.6572,0.04,640.786
0.05,0.091,0.6572,0.06,637.61
0.05,0.091,0.6572,0.08,636.84
0.05,0.091,0.6572,0.1,641.549
0.05,0.091,0.6572,0.12,643.874
0.05,0.091,0.6572,0.14,640.055
0.05,0.091,0.8215,0.02,639.771
0.05,0.091,0.8215,0.04,637.794
0.05,0.091,0.8215,0.06,634.56
0.05,0.091,0.8215,0.08,640.757
0.05,0.091,0.8215,0.1,635.925
0.05,0.091,0.8215,0.12,639.621
0.05,0.091,0.8215,0.14,635.945
0.05,0.091,0.9858,0.02,637.454
0.05,0.091,0.9858,0.04,637.156
0.05,0.091,0.9858,0.06,640.008
0.05,0.091,0.9858,0.08,642.409
0.05,0.091,0.9858,0.1,643.604
0.05,0.091,0.9858,0.12,638.846
0.05,0.091,0.9858,0.14,639.896
0.05,0.091,1.1501,0.02,641.847
0.05,0.091,1.1501,0.04,640.851
0.05,0.091,1.1501,0.06,639.595
0.05,0.091,1.1501,0.08,643.393
0.05,0.091,1.1501,0.1,642.112
0.05,0.091,1.1501,0.12,639.61
0.05,0.091,1.1501,0.14,643.458
0.05,0.1365,0.1643,0.02,638.986
0.05,0.1365,0.1643,0.04,640.281
0.05,0.1365,0.1643,0.06,640.63
0.05,0.1365,0.1643,0.08,646.154
0.05,0.1365,0.1643,0.1,647.507
0.05,0.1365,0.1643,0.12,654.594
0.05,0.1365,0.1643,0.14,650.583
0.05,0.1365,0.3286,0.02,640.782
0.05,0.1365,0.3286,0.04,640.227
0.05,0.1365,0.3286,0.06,639.774
0.05,0.1365,0.3286,0.08,644.462
0.05,0.1365,0.3286,0.1,650.348
0.05,0.1365,0.3286,0.12,650.676
0.05,0.1365,0.3286,0.14,651.395
0.05,0.1365,0.4929,0.02,640.465
0.05,0.1365,0.4929,0.04,641.474
0.05,0.1365,0.4929,0.06,649.165
0.05,0.1365,0.4929,0.08,649.323
0.05,0.1365,0.4929,0.1,646.168
0.05,0.1365,0.4929,0.12,650.008
0.05,0.1365,0.4929,0.14,652.374
0.05,0.1365,0.6572,0.02,641.696
0.05,0.1365,0.6572,0.04,643.927
0.05,0.1365,0.6572,0.06,642.929
0.05,0.1365,0.6572,0.08,646.075
0.05,0.1365,0.6572,0.1,647.901
0.05,0.1365,0.6572,0.12,650.59
0.05,0.1365,0.6572,0.14,651.803
0.05,0.1365,0.8215,0.02,639.85
0.05,0.1365,0.8215,0.04,640.505
0.05,0.1365,0.8215,0.06,642.89
0.05,0.1365,0.8215,0.08,648.555
0.05,0.1365,0.8215,0.1,653.975
0.05,0.1365,0.8215,0.12,647.239
0.05,0.1365,0.8215,0.14,651.749
0.05,0.1365,0.9858,0.02,645.315
0.05,0.1365,0.9858,0.04,641.12
0.05,0.1365,0.9858,0.06,646.639
0.05,0.1365,0.9858,0.08,646.402
0.05,0.1365,0.9858,0.1,644.203
0.05,0.1365,0.9858,0.12,651.056
0.05,0.1365,0.9858,0.14,653.483
0.05,0.1365,1.1501,0.02,636.16
0.05,0.1365,1.1501,0.04,641.781
0.05,0.1365,1.1501,0.06,642.187
0.05,0.1365,1.1501,0.08,649.118
0.05,0.1365,1.1501,0.1,649.727
0.05,0.1365,1.1501,0.12,655.13
0.05,0.1365,1.1501,0.14,652.651
0.05,0.182,0.1643,0.02,646.846
0.05,0.182,0.1643,0.04,648.755
0.05,0.182,0.1643,0.06,659.493
0.05,0.182,0.1643,0.08,670.844
0.05,0.182,0.1643,0.1,675.375
0.05,0.182,0.1643,0.12,683.329
0.05,0.182,0.1643,0.14,689.868
0.05,0.182,0.3286,0.02,646.513
0.05,0.182,0.3286,0.04,657.206
0.05,0.182,0.3286,0.06,659.805
0.05,0.182,0.3286,0.08,663.768
0.05,0.182,0.3286,0.1,673.474
0.05,0.182,0.3286,0.12,680.443
0.05,0.182,0.3286,0.14,687.173
0.05,0.182,0.4929,0.02,650.294
0.05,0.182,0.4929,0.04,653.313
0.05,0.182,0.4929,0.06,659.095
0.05,0.182,0.4929,0.08,668.616
0.05,0.182,0.4929,0.1,675.607
0.05,0.182,0.4929,0.12,680.54
0.05,0.182,0.4929,0.14,687.268
0.05,0.182,0.6572,0.02,650.669
0.05,0.182,0.6572,0.04,651.057
0.05,0.182,0.6572,0.06,663.9
0.05,0.182,0.6572,0.08,669.204
0.05,0.182,0.6572,0.1,675.872
0.05,0.182,0.6572,0.12,684.604
0.05,0.182,0.6572,0.14,689.713
0.05,0.182,0.8215,0.02,646.75
0.05,0.182,0.8215,0.04,656.224
0.05,0.182,0.8215,0.06,662.298
0.05,0.182,0.8215,0.08,668.52
0.05,0.182,0.8215,0.1,676.012
0.05,0.182,0.8215,0.12,679.209
0.05,0.182,0.8215,0.14,688.714
0.05,0.182,0.9858,0.02,647.064
0.05,0.182,0.9858,0.04,653.478
0.05,0.182,0.9858,0.06,665.059
0.05,0.182,0.9858,0.08,670.275
0.05,0.182,0.9858,0.1,675.578
0.05,0.182,0.9858,0.12,681.5
0.05,0.182,0.9858,0.14,691.086
0.05,0.182,1.1501,0.02,642.613
0.05,0.182,1.1501,0.04,658.569
0.05,0.182,1.1501,0.06,660.66
0.05,0.182,1.1501,0.08,670.229
0.05,0.182,1.1501,0.1,674.873
0.05,0.182,1.1501,0.12,682.431
0.05,0.182,1.1501,0.14,690.056
0.05,0.2275,0.1643,0.02,643.05
0.05,0.2275,0.1643,0.04,648.703
0.05,0.2275,0.1643,0.06,655.059
0.05,0.2275,0.1643,0.08,661.582
0.1,0.091,0.1643,0.1,639.885
0.05,0.2275,0.1643,0.1,671.789
0.05,0.2275,0.1643,0.12,680.43
0.05,0.2275,0.1643,0.14,688.044
0.05,0.2275,0.3286,0.02,647.554
0.05,0.2275,0.3286,0.04,644.888
0.05,0.2275,0.3286,0.06,659.186
0.05,0.2275,0.3286,0.08,663.812
0.05,0.2275,0.3286,0.1,670.33
0.05,0.2275,0.3286,0.12,677.132
0.05,0.2275,0.3286,0.14,687.005
0.05,0.2275,0.4929,0.02,643.233
0.05,0.2275,0.4929,0.04,648.926
0.05,0.2275,0.4929,0.06,655.057
0.05,0.2275,0.4929,0.08,668.001
0.05,0.2275,0.4929,0.1,671.773
0.05,0.2275,0.4929,0.12,681.518
0.05,0.2275,0.4929,0.14,686.487
0.05,0.2275,0.6572,0.02,640.838
0.05,0.2275,0.6572,0.04,651.043
0.05,0.2275,0.6572,0.06,654.949
0.05,0.2275,0.6572,0.08,660.462
0.05,0.2275,0.6572,0.1,670.396
0.05,0.2275,0.6572,0.12,678.524
0.05,0.2275,0.6572,0.14,688.108
0.05,0.2275,0.8215,0.02,638.138
0.05,0.2275,0.8215,0.04,648.701
0.05,0.2275,0.8215,0.06,655.916
0.05,0.2275,0.8215,0.08,659.823
0.05,0.2275,0.8215,0.1,672.887
0.05,0.2275,0.8215,0.12,678.079
0.05,0.2275,0.8215,0.14,687.523
0.05,0.2275,0.9858,0.02,642.537
0.05,0.2275,0.9858,0.04,648.084
0.05,0.2275,0.9858,0.06,653.941
0.05,0.2275,0.9858,0.08,663.813
0.05,0.2275,0.9858,0.1,671.841
0.05,0.2275,0.9858,0.12,679.383
0.05,0.2275,0.9858,0.14,685.613
0.05,0.2275,1.1501,0.02,638.509
0.05,0.2275,1.1501,0.04,650.061
0.05,0.2275,1.1501,0.06,658.233
0.05,0.2275,1.1501,0.08,661.569
0.05,0.2275,1.1501,0.1,669.645
0.05,0.2275,1.1501,0.12,677.733
0.05,0.2275,1.1501,0.14,685.498
0.1,0.091,0.3286,0.1,643.841
0.1,0.0455,0.1643,0.02,641.703
0.1,0.0455,0.1643,0.04,637.703
0.1,0.0455,0.1643,0.06,639.577
0.1,0.0455,0.1643,0.08,638.526
0.1,0.0455,0.1643,0.1,642.626
0.1,0.0455,0.1643,0.12,639.675
0.1,0.0455,0.1643,0.14,635.945
0.1,0.0455,0.3286,0.02,638.019
0.1,0.0455,0.3286,0.04,640.355
0.1,0.0455,0.3286,0.06,643.267
0.1,0.0455,0.3286,0.08,638.558
0.1,0.0455,0.3286,0.1,640.864
0.1,0.0455,0.3286,0.12,638.018
0.1,0.0455,0.3286,0.14,641.364
0.1,0.0455,0.4929,0.02,642.162
0.1,0.0455,0.4929,0.04,637.144
0.1,0.0455,0.4929,0.06,637.573
0.1,0.0455,0.4929,0.08,642.477
0.1,0.0455,0.4929,0.1,644.509
0.1,0.0455,0.4929,0.12,640.479
0.1,0.0455,0.4929,0.14,643.599
0.1,0.0455,0.6572,0.02,640.259
0.1,0.0455,0.6572,0.04,636.332
0.1,0.0455,0.6572,0.06,640.765
0.1,0.0455,0.6572,0.08,630.405
0.1,0.0455,0.6572,0.1,637.898
0.1,0.0455,0.6572,0.12,639.015
0.1,0.0455,0.6572,0.14,641.129
0.1,0.0455,0.8215,0.02,640.545
0.1,0.0455,0.8215,0.04,639.624
0.1,0.0455,0.8215,0.06,643.111
0.1,0.0455,0.8215,0.08,638.493
0.1,0.0455,0.8215,0.1,637.579
0.1,0.0455,0.8215,0.12,641.578
0.1,0.0455,0.8215,0.14,639.999
0.1,0.0455,0.9858,0.02,634.822
0.1,0.0455,0.9858,0.04,632.919
0.1,0.0455,0.9858,0.06,639.68
0.1,0.0455,0.9858,0.08,638.288
0.1,0.0455,0.9858,0.1,640.342
0.1,0.0455,0.9858,0.12,643.74
0.1,0.0455,0.9858,0.14,637.541
0.1,0.0455,1.1501,0.02,633.543
0.1,0.0455,1.1501,0.04,642.706
0.1,0.0455,1.1501,0.06,636.369
0.1,0.0455,1.1501,0.08,643.897
0.1,0.0455,1.1501,0.1,643.656
0.1,0.0455,1.1501,0.12,639.898
0.1,0.0455,1.1501,0.14,641.684
0.1,0.091,0.1643,0.02,631.868
0.1,0.091,0.1643,0.04,635.728
0.1,0.091,0.1643,0.06,635.587
0.1,0.091,0.1643,0.08,640.197
0.1,0.091,0.1643,0.12,634.676
0.1,0.091,0.1643,0.14,642.498
0.1,0.091,0.3286,0.02,634.039
0.1,0.091,0.3286,0.04,643.476
0.1,0.091,0.4929,0.1,635.387
0.1,0.091,0.3286,0.06,633.882
0.1,0.091,0.3286,0.08,639.972
0.1,0.091,0.3286,0.12,643.326
0.1,0.091,0.3286,0.14,639.927
0.1,0.091,0.4929,0.02,634.48
0.1,0.091,0.4929,0.04,640.439
0.1,0.091,0.4929,0.06,639.659
0.1,0.091,0.4929,0.08,640.372
0.1,0.091,0.4929,0.12,641.75
0.1,0.091,0.4929,0.14,639.592
0.1,0.091,0.6572,0.02,639.879
0.1,0.091,0.6572,0.04,643.936
0.1,0.091,0.6572,0.06,641.33
0.1,0.091,0.6572,0.08,637.568
0.1,0.091,0.6572,0.1,645.17
0.1,0.091,0.6572,0.12,641.102
0.1,0.091,0.6572,0.14,641.576
0.1,0.091,0.8215,0.02,641.854
0.1,0.091,0.8215,0.04,636.493
0.1,0.091,0.8215,0.06,643.986
0.1,0.091,0.8215,0.08,642.813
0.1,0.091,0.8215,0.1,635.438
0.1,0.091,0.8215,0.12,637.083
0.1,0.091,0.8215,0.14,635.015
0.1,0.091,0.9858,0.02,637.359
0.1,0.091,0.9858,0.04,635.708
0.1,0.091,0.9858,0.06,635.326
0.1,0.091,0.9858,0.08,640.087
0.1,0.091,0.9858,0.1,644.667
0.1,0.091,0.9858,0.12,645.118
0.1,0.091,0.9858,0.14,642.349
0.1,0.091,1.1501,0.02,640.784
0.1,0.091,1.1501,0.04,637.555
0.1,0.091,1.1501,0.06,634.404
0.1,0.091,1.1501,0.08,637.288
0.1,0.091,1.1501,0.1,640.542
0.1,0.091,1.1501,0.12,636.201
0.1,0.091,1.1501,0.14,639.903
0.1,0.1365,0.1643,0.02,642.45
0.1,0.1365,0.1643,0.04,639.099
0.1,0.1365,0.1643,0.06,643.208
0.1,0.1365,0.1643,0.08,645.17
0.1,0.1365,0.1643,0.1,648.573
0.1,0.1365,0.1643,0.12,647.03
0.1,0.1365,0.1643,0.14,653.653
0.1,0.1365,0.3286,0.02,636.105
0.1,0.1365,0.3286,0.04,639.297
0.1,0.1365,0.3286,0.06,646.37
0.1,0.1365,0.3286,0.08,650.463
0.1,0.1365,0.3286,0.1,650.301
0.1,0.1365,0.3286,0.12,651.262
0.1,0.1365,0.3286,0.14,652.75
0.1,0.1365,0.4929,0.02,640.831
0.1,0.1365,0.4929,0.04,638.812
0.1,0.1365,0.4929,0.06,648.75
0.1,0.1365,0.4929,0.08,643.442
0.1,0.1365,0.4929,0.1,644.918
0.1,0.1365,0.4929,0.12,651.062
0.1,0.1365,0.4929,0.14,648.905
0.1,0.1365,0.6572,0.02,641.353
0.1,0.1365,0.6572,0.04,643.952
0.1,0.1365,0.6572,0.06,645.528
0.1,0.1365,0.6572,0.08,641.53
0.1,0.1365,0.6572,0.1,652.362
0.1,0.1365,0.6572,0.12,647.469
0.1,0.1365,0.6572,0.14,649.99
0.1,0.1365,0.8215,0.02,638.115
0.1,0.1365,0.8215,0.04,643.335
0.1,0.1365,0.8215,0.06,646.285
0.1,0.1365,0.8215,0.08,651.429
0.1,0.1365,0.8215,0.1,651.298
0.1,0.1365,0.8215,0.12,649.77
0.1,0.1365,0.8215,0.14,657.144
0.1,0.1365,0.9858,0.02,644.934
0.1,0.1365,0.9858,0.04,637.775
0.1,0.1365,0.9858,0.06,642.991
0.1,0.1365,0.9858,0.08,648.183
0.1,0.1365,0.9858,0.1,647.668
0.1,0.1365,0.9858,0.12,658.736
0.1,0.1365,0.9858,0.14,650.501
0.1,0.1365,1.1501,0.02,646.019
0.1,0.1365,1.1501,0.04,642.365
0.1,0.1365,1.1501,0.06,641.19
0.1,0.1365,1.1501,0.08,647.57
0.1,0.1365,1.1501,0.1,653.477
0.1,0.1365,1.1501,0.12,648.906
