,SigC,SigH,EpsC,EpsH,density,estimErr
1,0.075,0.0683,0.2465,0.03,640.872,18.0
2,0.075,0.0683,0.2465,0.05,634.243,19.0
3,0.075,0.0683,0.2465,0.07,626.397,20.0
4,0.075,0.0683,0.2465,0.09,631.671,20.0
5,0.075,0.0683,0.2465,0.11,639.387,17.0
6,0.075,0.0683,0.2465,0.13,630.84,17.0
7,0.075,0.0683,0.4108,0.03,636.813,17.0
8,0.075,0.0683,0.4108,0.05,638.93,15.0
9,0.075,0.0683,0.4108,0.07,631.79,21.0
10,0.075,0.0683,0.4108,0.09,630.896,19.0
11,0.075,0.0683,0.4108,0.11,635.388,19.0
12,0.075,0.0683,0.4108,0.13,638.523,16.0
13,0.075,0.0683,0.5751,0.03,637.325,18.0
14,0.075,0.0683,0.5751,0.05,639.607,18.0
15,0.075,0.0683,0.5751,0.07,629.011,20.0
16,0.075,0.0683,0.5751,0.09,630.371,17.0
17,0.075,0.0683,0.5751,0.11,632.901,19.0
18,0.075,0.0683,0.5751,0.13,636.068,17.0
19,0.075,0.0683,0.7394,0.03,633.475,18.0
20,0.075,0.0683,0.7394,0.05,631.349,22.0
21,0.075,0.0683,0.7394,0.07,632.303,14.0
22,0.075,0.0683,0.7394,0.09,628.406,23.0
23,0.075,0.0683,0.7394,0.11,635.406,15.0
24,0.075,0.0683,0.7394,0.13,635.761,17.0
25,0.075,0.0683,0.9037,0.03,634.085,17.0
26,0.075,0.0683,0.9037,0.05,634.65,20.0
27,0.075,0.0683,0.9037,0.07,631.785,15.0
28,0.075,0.0683,0.9037,0.09,630.36,14.0
29,0.075,0.0683,0.9037,0.11,635.304,16.0
30,0.075,0.0683,0.9037,0.13,633.353,20.0
31,0.075,0.0683,1.068,0.03,634.676,22.0
32,0.075,0.0683,1.068,0.05,635.961,19.0
33,0.075,0.0683,1.068,0.07,634.724,18.0
34,0.075,0.0683,1.068,0.09,637.514,14.0
35,0.075,0.0683,1.068,0.11,632.129,22.0
36,0.075,0.0683,1.068,0.13,633.191,17.0
37,0.075,0.1138,0.2465,0.03,635.798,17.0
38,0.075,0.1138,0.2465,0.05,641.9,15.0
39,0.075,0.1138,0.2465,0.07,633.535,21.0
40,0.075,0.1138,0.2465,0.09,636.694,18.0
41,0.075,0.1138,0.2465,0.11,637.334,22.0
42,0.075,0.1138,0.2465,0.13,644.151,15.0
43,0.075,0.1138,0.4108,0.03,638.744,18.0
44,0.075,0.1138,0.4108,0.05,638.957,17.0
45,0.075,0.1138,0.4108,0.07,635.945,19.0
46,0.075,0.1138,0.4108,0.09,635.191,19.0
47,0.075,0.1138,0.4108,0.11,637.517,18.0
48,0.075,0.1138,0.4108,0.13,640.279,16.0
49,0.075,0.1138,0.5751,0.03,635.818,18.0
50,0.075,0.1138,0.5751,0.05,631.989,25.0
51,0.075,0.1138,0.5751,0.07,635.266,19.0
52,0.075,0.1138,0.5751,0.09,632.214,22.0
53,0.075,0.1138,0.5751,0.11,643.488,15.0
54,0.075,0.1138,0.5751,0.13,636.816,17.0
55,0.075,0.1138,0.7394,0.03,633.879,24.0
56,0.075,0.1138,0.7394,0.05,634.039,17.0
57,0.075,0.1138,0.7394,0.07,633.821,17.0
58,0.075,0.1138,0.7394,0.09,637.517,20.0
59,0.075,0.1138,0.7394,0.11,634.38,15.0
60,0.075,0.1138,0.7394,0.13,638.242,17.0
61,0.075,0.1138,0.9037,0.03,637.514,16.0
62,0.075,0.1138,0.9037,0.05,631.687,20.0
63,0.075,0.1138,0.9037,0.07,636.466,16.0
64,0.075,0.1138,0.9037,0.09,627.445,23.0
65,0.075,0.1138,0.9037,0.11,631.284,21.0
66,0.075,0.1138,0.9037,0.13,632.842,21.0
67,0.075,0.1138,1.068,0.03,628.767,17.0
68,0.075,0.1138,1.068,0.05,635.199,20.0
69,0.075,0.1138,1.068,0.07,636.196,18.0
70,0.075,0.1138,1.068,0.09,636.47,17.0
71,0.075,0.1138,1.068,0.11,636.95,17.0
72,0.075,0.1138,1.068,0.13,634.523,18.0
73,0.075,0.1593,0.2465,0.03,645.855,14.0
74,0.075,0.1593,0.2465,0.05,645.058,15.0
75,0.075,0.1593,0.2465,0.07,642.258,21.0
76,0.075,0.1593,0.2465,0.09,643.859,24.0
77,0.075,0.1593,0.2465,0.11,653.17,18.0
78,0.075,0.1593,0.2465,0.13,650.667,19.0
79,0.075,0.1593,0.4108,0.03,635.278,24.0
80,0.075,0.1593,0.4108,0.05,634.802,27.0
81,0.075,0.1593,0.4108,0.07,644.012,17.0
82,0.075,0.1593,0.4108,0.09,647.91,19.0
83,0.075,0.1593,0.4108,0.11,651.969,18.0
84,0.075,0.1593,0.4108,0.13,657.309,17.0
85,0.075,0.1593,0.5751,0.03,637.757,17.0
86,0.075,0.1593,0.5751,0.05,648.218,13.0
87,0.075,0.1593,0.5751,0.07,645.019,18.0
88,0.075,0.1593,0.5751,0.09,650.553,20.0
89,0.075,0.1593,0.5751,0.11,656.579,15.0
90,0.075,0.1593,0.5751,0.13,658.425,20.0
91,0.075,0.1593,0.7394,0.03,639.815,17.0
92,0.075,0.1593,0.7394,0.05,641.723,21.0
93,0.075,0.1593,0.7394,0.07,648.945,19.0
94,0.075,0.1593,0.7394,0.09,652.047,19.0
95,0.075,0.1593,0.7394,0.11,648.493,18.0
96,0.075,0.1593,0.7394,0.13,651.902,17.0
97,0.075,0.1593,0.9037,0.03,640.536,18.0
98,0.075,0.1593,0.9037,0.05,643.316,19.0
99,0.075,0.1593,0.9037,0.07,645.217,17.0
100,0.075,0.1593,0.9037,0.09,650.047,13.0
101,0.075,0.1593,0.9037,0.11,657.998,18.0
102,0.075,0.1593,0.9037,0.13,654.21,22.0
103,0.075,0.1593,1.068,0.03,643.7,18.0
104,0.075,0.1593,1.068,0.05,644.084,15.0
105,0.075,0.1593,1.068,0.07,648.205,18.0
106,0.075,0.1593,1.068,0.09,652.222,14.0
107,0.075,0.1593,1.068,0.11,658.015,20.0
108,0.075,0.1593,1.068,0.13,661.326,17.0
109,0.075,0.2048,0.2465,0.03,649.809,16.0
